TE,Season,Date,AMF,BUT,BMP,SMP,WMP
128,2014,18/11/2014,3489.500154,2656.238318,2511,2299.289434,2399.724789
129,2014,2/12/2014,3816.812281,2849.194561,2560,2423.291085,2229.045205
130,2014,16/12/2014,4199.590495,3144.782051,2465.833333,2319.591769,2270.291131
131,2014,6/01/2015,4493.173205,3558.404997,2735.642202,2385.534021,2306.841494
132,2014,20/01/2015,4285.716225,3564.493318,2558.612565,2389.075726,2402.054734
133,2014,3/02/2015,4066.654439,3783.052109,2436.06383,2597.508639,2873.822221
134,2014,17/02/2015,4313.596298,3822.911005,2673.552124,2743.64098,3272.458481
135,2014,3/03/2015,4236.958373,3911.857765,2681.029083,2935.150868,3241.23375
136,2014,17/03/2015,3877.482135,3555.133758,2635,2731.450139,2927.719603
137,2014,1/04/2015,3662.982589,3258.846154,2130,2467.353017,2538.114562
138,2014,15/04/2015,3743.536079,3026.23061,2207.723577,2253.424482,2445.646204
139,2014,5/05/2015,3504.909253,3004.79034,1748.090452,2047.706926,2385.812546
140,2014,19/05/2015,3336.661437,2911.160131,1930,1991.987661,2390.030116
141,2015,2/06/2015,3112.498675,2619.487952,1795,1982.49536,2308.963916
142,2015,16/06/2015,2813.89648,2707.350565,1975,1977.72999,2327.192648
143,2015,1/07/2015,2855.478723,2694.445928,1877.727273,1875.418275,2054.331291
144,2015,15/07/2015,2621.381623,2460.372268,1794.41349,1702.187809,1847.830969
145,2015,4/08/2015,2253.416206,2292.917208,1700.064935,1418.534836,1590.096476
146,2015,18/08/2015,2723.70438,2540.830389,1400,1520.990402,1855.930063
147,2015,1/09/2015,3028.817949,2745.944079,1828.666667,1697.779099,2077.705029
148,2015,15/09/2015,3439.656334,3108.145161,1719.257143,1991.861393,2494.854702
149,2015,6/10/2015,3762.715108,3037.316237,1944.576613,2267.277299,2823.777114
150,2015,20/10/2015,3856.249628,2850,2063.615385,2177.859308,2693.746685
151,2015,3/11/2015,3646.512384,2574.352442,1844,2017.807582,2453.312872
152,2015,17/11/2015,3429.620755,2709.134367,1825,1851.303346,2147.560703
153,2015,1/12/2015,3519.23921,3008.871595,1728.908629,1918.112305,2259.594648
154,2015,15/12/2015,3721.116178,3136.294498,1563.973333,1890.972883,2304.398601
155,2015,5/01/2016,3644.255026,3313.62294,1586.296992,1890.097609,2209.712635
156,2015,19/01/2016,3724.428795,3161.688491,1620,1834.883671,2188.269521
157,2015,2/02/2016,3485.706006,2905.475702,1513.293173,1792.473684,1951.717905
158,2015,16/02/2016,3526.624918,2834.434092,1495.948905,1761.856796,1889.712109
159,2015,1/03/2016,3254.4784,2811.434599,1452.434944,1801.900378,1974.367911
160,2015,15/03/2016,3014.422012,2733.214486,1544.854369,1730.736405,1970.601689
161,2015,5/04/2016,3202.54902,2702.131566,1395.233645,1720.550406,2012.528046
162,2015,19/04/2016,3240.014331,2746.475827,1459.896907,1726.83818,2156.468408
163,2015,3/05/2016,3194.566752,2601.410127,1366.429872,1676.357627,2176.255034
164,2015,17/05/2016,3340.193153,2696.517857,1545,1658.087422,2251.578104
165,2016,1/06/2016,3444.405328,2762.1542,1765,1867.143424,2205.412386
166,2016,15/06/2016,3618.622654,2910.207222,1694.653179,1901.006305,2118.236991
167,2016,5/07/2016,3621,2828,1552,1938,2062
168,2016,19/07/2016,3628,2687,1565,1927,2079
169,2016,2/08/2016,3797,2871,1661,1965,2265
170,2016,16/08/2016,4148,3274,1983,2028,2695
171,2016,6/09/2016,4769,3764,2070,2224,2793
172,2016,20/09/2016,4998,3892,2276,2296,2782
173,2016,4/10/2016,4954,3891,2408,2209,2681
174,2016,18/10/2016,5007,3984,2583,2204,2760
175,2016,1/11/2016,5146,4146,2248,2329,3317
176,2016,15/11/2016,5348,4193,2623,2562,3423
177,2016,6/12/2016,5500,4262,2408,2570,3593
178,2016,20/12/2016,5367,4290,2874,2621,3568
179,2016,3/01/2017,5352,4308,2670,2660,3294
180,2016,17/01/2017,5528,4382,2783,2612,3283
181,2016,7/02/2017,5765,4593,2254,2608,3314
182,2016,21/02/2017,5693,4598,2090,2574,3189
183,2016,7/03/2017,5653,4653,1846,2118,2782
184,2016,21/03/2017,5799,4910,1846,1948,2855
185,2016,4/04/2017,5936,4750,1588,1913,2924
186,2016,18/04/2017,5930,4892,1720,2044,2998
187,2016,2/05/2017,6185,4911,1859,1982,3233
188,2016,16/05/2017,6631,5479,1980,1998,3312
189,2017,7/06/2017,6569,5631,2092,2156,3143
190,2017,21/06/2017,6885,5768,2092,2218,3022
191,2017,5/07/2017,6596,5775,2264,2090,3111
192,2017,19/07/2017,6577,6004,2264,2024,3114
193,2017,2/08/2017,6289,5747,2198,1966,3155
194,2017,16/08/2016,6199,5735,2198,1968,3143
195,2017,6/09/2017,6402,5954,2026,1944,3100
196,2017,20/09/2017,6794,6026,2026,1920,3112
197,2017,4/10/2017,6504,5837,1804,1895,3037
198,2017,18/10/2017,6841,5736,n.a.,1797,3014
199,2017,8/11/2017,6894,5516,1931,1818,2852
200,2017,22/11/2017,6887,5144,n.a.,1701,2778
